# BTC Strategie - Chronological Trades
# Generated: 2026-03-13 09:18:40
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_ChronologicalTrades.csv
# Date Range Filter: 2025-01-01 to 2025-08-14
# Total Trades: 133
# P&L Type: realized only (position_pnl = P&L per closed position)
# Straddle: TP/SL gilt fuer gesamten Kombinationswert (Put+Call), nicht pro Einzelleg. Straddle wird gemeinsam eroeffnet und geschlossen.
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
# Total Transactions: 267
# Unique Positions: 134
# P&L Type: realized only (position_pnl = P&L per closed position)
#
timestamp,time,position_id,combo_id,leg_label,action,exit_reason,quantity,underlying_price,reference_price_used_helper,trigger_helper_price,reference_iv,trigger_helper_iv,entry_price,close_price,leg_number,Type,Expiration,Delta,Entry Delta,days_in_trade,position_pnl,leg_fee_usd,Net_Trade_Cost_USD,Net_Trade_Cost_USD_Currency,strike,entry_price_usd,exit_price_usd,leg1_option_type,leg2_option_type
2025-01-01,03:05:00,OPTION_2025-01-01_001,Kombo OPTION_2025-01-01_001,Leg 1 (P),OPEN,,-1,93862.0,,,,,0.001,,1,P,2025-01-02,-0.07369,,,,0.0,93.86200000000001,USD,90000.0,0.001,,,
2025-01-02,03:05:00,OPTION_2025-01-02_002,Kombo OPTION_2025-01-02_002,Leg 1 (P),OPEN,,-1,95018.0,,,,,0.0017,,1,P,2025-01-03,-0.1019,,,,0.0,161.5306,USD,91000.0,0.0017,,,
2025-01-02,08:00:00,OPTION_2025-01-01_001,Kombo OPTION_2025-01-01_001,Leg 1,CLOSE,expiry,1,95663.0,,,,,,0.0,1,P,2025-01-02,-0.07369,-0.07369,1,93.86200000000001,0.0,-0.0,USD,90000.0,,0.0,,
2025-01-02,19:48:00,OPTION_2025-01-02_002,Kombo OPTION_2025-01-02_002,Leg 1,CLOSE,take_profit,1,97512.0,,,,,,0.0001,1,P,2025-01-03,-0.1019,-0.1019,0,138.12771999999998,13.651679999999999,-23.40288,USD,91000.0,,0.0001,,
2025-01-03,03:05:00,OPTION_2025-01-03_001,Kombo OPTION_2025-01-03_001,Leg 1 (P),OPEN,,-1,97049.0,,,,,0.0011,,1,P,2025-01-04,-0.07958,,,,0.0,106.7539,USD,93000.0,0.0011,,,
2025-01-03,15:56:00,OPTION_2025-01-03_001,Kombo OPTION_2025-01-03_001,Leg 1,CLOSE,take_profit,1,97522.0,,,,,,0.0001,1,P,2025-01-04,-0.07958,-0.07958,0,83.34862,13.65308,-23.405279999999998,USD,93000.0,,0.0001,,
2025-01-04,03:05:00,OPTION_2025-01-04_001,Kombo OPTION_2025-01-04_001,Leg 1 (P),OPEN,,-1,98252.0,,,,,0.0005,,1,P,2025-01-05,-0.07401,,,,0.0,49.126,USD,96000.0,0.0005,,,
2025-01-05,03:05:00,OPTION_2025-01-05_002,Kombo OPTION_2025-01-05_002,Leg 1 (P),OPEN,,-1,98242.0,,,,,0.0011,,1,P,2025-01-06,-0.11376,,,,0.0,108.06620000000001,USD,96000.0,0.0011,,,
2025-01-05,08:00:00,OPTION_2025-01-04_001,Kombo OPTION_2025-01-04_001,Leg 1,CLOSE,expiry,1,98300.0,,,,,,0.0,1,P,2025-01-05,-0.07401,-0.07401,1,49.126,0.0,-0.0,USD,96000.0,,0.0,,
2025-01-05,23:49:00,OPTION_2025-01-05_002,Kombo OPTION_2025-01-05_002,Leg 1,CLOSE,take_profit,1,98474.0,,,,,,0.0001,1,P,2025-01-06,-0.11376,-0.11376,0,84.43244000000001,13.786359999999998,-23.63376,USD,96000.0,,0.0001,,
2025-01-06,03:05:00,OPTION_2025-01-06_001,Kombo OPTION_2025-01-06_001,Leg 1 (P),OPEN,,-1,98971.0,,,,,0.0017,,1,P,2025-01-07,-0.12497,,,,0.0,168.2507,USD,96000.0,0.0017,,,
2025-01-06,15:30:00,OPTION_2025-01-06_001,Kombo OPTION_2025-01-06_001,Leg 1,CLOSE,take_profit,1,101848.0,,,,,,0.0001,1,P,2025-01-07,-0.12497,-0.12497,0,143.80718,14.258719999999999,-24.44352,USD,96000.0,,0.0001,,
