# Daily Equity Curve
#
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_DailyEquityCurve.csv
# Starting Capital: "$10,000.00" USD
# Date Range: 2025-01-01 to 2025-08-14
# Total Days: 134
# Total Trades: 133
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Total PnL (incl. unrealized): "$4,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
#
date,exit_timestamp_readable,capital_curve_usd,realized_pnl_usd,unrealized_pnl_usd
2025-01-01,2025-01-01 23:59,10094.39,0.00,94.39
2025-01-02,2025-01-02 23:59,10231.99,231.99,0.00
2025-01-03,2025-01-03 23:59,10315.34,83.35,0.00
2025-01-04,2025-01-04 23:59,10359.09,0.00,43.75
2025-01-05,2025-01-05 23:59,10448.90,133.56,0.00
2025-01-06,2025-01-06 23:59,10592.70,143.81,0.00
2025-01-07,2025-01-07 23:59,10500.34,-92.36,0.00
2025-01-08,2025-01-08 23:59,10393.25,-107.09,0.00
2025-01-15,2025-01-15 23:59,10524.30,131.04,0.00
2025-01-16,2025-01-16 23:59,10386.83,-137.47,0.00
2025-01-17,2025-01-17 23:59,10493.64,106.81,0.00
2025-01-18,2025-01-18 23:59,10386.47,-107.17,0.00
2025-01-19,2025-01-19 23:59,10528.89,142.42,0.00
2025-01-20,2025-01-20 23:59,10818.97,290.08,0.00
2025-01-21,2025-01-21 23:59,11029.06,210.10,0.00
2025-01-22,2025-01-22 23:59,11167.48,0.00,138.42
2025-01-23,2025-01-23 23:59,11353.58,324.52,0.00
2025-01-24,2025-01-24 23:59,11514.16,160.58,0.00
2025-01-25,2025-01-25 23:59,11583.65,0.00,69.49
2025-01-26,2025-01-26 23:59,11511.70,-2.46,0.00
2025-01-27,2025-01-27 23:59,11379.24,-132.46,0.00
2025-01-28,2025-01-28 23:59,11538.51,159.27,0.00
2025-01-29,2025-01-29 23:59,11707.27,168.76,0.00
2025-01-30,2025-01-30 23:59,11892.03,0.00,184.76
2025-01-31,2025-01-31 23:59,12022.35,315.08,0.00
2025-02-01,2025-02-01 23:59,11958.36,-63.99,0.00
2025-02-21,2025-02-21 23:59,11886.83,-71.53,0.00
2025-03-03,2025-03-03 23:59,11731.66,-155.17,0.00
2025-03-20,2025-03-20 23:59,11647.29,-84.37,0.00
2025-03-24,2025-03-24 23:59,11729.66,82.37,0.00
2025-03-25,2025-03-25 23:59,11804.05,74.38,0.00
2025-03-26,2025-03-26 23:59,11904.25,0.00,100.20
2025-03-27,2025-03-27 23:59,11808.21,4.17,0.00
2025-03-28,2025-03-28 23:59,11702.22,-106.00,0.00
2025-04-12,2025-04-12 23:59,11764.66,0.00,62.44
2025-04-13,2025-04-13 23:59,11659.16,-43.06,0.00
2025-04-14,2025-04-14 23:59,11817.09,157.93,0.00
2025-04-15,2025-04-15 23:59,11913.48,0.00,96.40
2025-04-16,2025-04-16 23:59,12038.65,221.56,0.00
2025-04-17,2025-04-17 23:59,12136.13,97.48,0.00
2025-04-18,2025-04-18 23:59,12226.10,89.97,0.00
2025-04-19,2025-04-19 23:59,12270.66,0.00,44.56
2025-04-20,2025-04-20 23:59,12231.58,5.48,0.00
2025-04-21,2025-04-21 23:59,12306.94,75.36,0.00
2025-04-22,2025-04-22 23:59,12390.82,83.89,0.00
2025-04-23,2025-04-23 23:59,12470.34,79.52,0.00
2025-04-24,2025-04-24 23:59,12366.72,-103.62,0.00
